Event,Name,Pid,Particle_px,Particle_py,Particle_pz,Particle_E,Particle_pT
4485,pi0,111,-0.0304729,0.250197,7.70534,7.71064,0.252046
4486,pi-,-211,0.412881,0.0174033,7.01859,7.03213,0.413248
4487,pi0,111,0.276692,-0.24075,6.02307,6.03573,0.366768
4488,pi-,-211,0.0730908,0.403064,11.3938,11.402,0.409637
4489,pi0,111,-0.0436566,-0.304825,13.2212,13.2255,0.307936
4490,pi0,111,0.203538,-0.23332,23.0791,23.0815,0.309622
4491,pi-,-211,0.00537719,0.09422,20.6274,20.6281,0.0943733
4492,pi-,-211,-0.255796,0.0450154,24.6416,24.6434,0.259726
4493,pi0,111,0.0676529,-0.0843645,11.9324,11.9337,0.10814
4494,pi-,-211,-0.406261,0.207941,34.7144,34.7177,0.456386
4495,pi-,-211,0.0160143,0.347384,15.2596,15.2642,0.347753
4496,pi-,-211,0.084018,0.172546,7.81322,7.81682,0.191915
4497,pi-,-211,0.348287,-0.126403,10.4314,10.4389,0.370515
4498,pi-,-211,0.0343653,0.124721,6.76414,6.76681,0.129369
4499,pi0,111,-0.268123,-0.0639816,28.529,28.5307,0.275651
4500,pi-,-211,-0.346162,-0.301117,3.75185,3.78237,0.458802
4501,pi-,-211,-0.170846,0.0489154,15.1772,15.1789,0.177711
4502,pi0,111,0.271555,0.190099,23.5548,23.5575,0.331481
4503,pi-,-211,-0.0484587,-0.22208,1.93927,1.95753,0.227306
4504,pi-,-211,-0.191409,-0.136283,1.88361,1.90334,0.234969
4505,pi-,-211,-0.0401297,-0.0386548,8.33033,8.33169,0.0557188
4506,pi-,-211,-0.216171,-0.538439,10.6988,10.7154,0.580213
4507,pi-,-211,0.168757,0.152187,3.68761,3.69724,0.227244
4508,pi0,111,-0.0110773,0.117644,2.43527,2.44187,0.118164
4509,pi-,-211,0.0143722,0.137102,3.50919,3.51467,0.137853
4510,pi-,-211,0.442656,-0.0320142,23.9751,23.9797,0.443812
4511,pi0,111,0.13166,0.405361,22.7509,22.7553,0.426207
4512,pi-,-211,0.0223302,-0.175867,24.0792,24.0802,0.177279
4513,pi-,-211,-0.216334,0.293407,34.1247,34.127,0.364538
4514,pi-,-211,-0.531211,-0.403147,7.93168,7.96088,0.666868
4515,pi0,111,0.151117,-0.34195,13.008,13.0141,0.373853
4516,pi-,-211,0.0553954,0.286871,15.0306,15.0341,0.292171
4517,pi0,111,-0.261309,-0.0398166,3.85034,3.86177,0.264325
4518,pi0,111,-0.186755,-0.111472,21.0928,21.0943,0.217494
4519,pi0,111,0.201112,-0.269686,5.2152,5.22779,0.336417
4520,pi-,-211,-0.0386397,-0.00309074,0.415048,0.439599,0.0387631
4521,pi-,-211,0.161351,0.0408094,9.18735,9.18992,0.166432
4522,pi-,-211,-0.135665,-0.151753,28.3081,28.3092,0.203553
4523,pi-,-211,0.478346,-0.279335,17.4136,17.423,0.553934
4524,pi-,-211,-0.000220106,-0.0704264,2.92133,2.92551,0.0704267
4525,pi0,111,-0.429341,-0.273744,15.768,15.7768,0.509185
4526,pi-,-211,0.0904507,0.068378,3.42471,3.42943,0.113388
4527,pi0,111,0.503078,0.0740645,10.1185,10.1322,0.508501
4528,pi-,-211,0.0772543,-0.262731,5.98056,5.98845,0.273854
4529,pi-,-211,-0.146219,0.0619293,20.4415,20.4426,0.158793
4530,pi0,111,0.00232927,0.394417,17.9869,17.9917,0.394424
4531,pi0,111,0.0646114,-0.047151,17.0326,17.0334,0.0799866
4532,pi-,-211,0.144282,0.170222,10.1587,10.1621,0.223143
4533,pi-,-211,0.198887,0.45344,28.4298,28.4345,0.49514
4534,pi0,111,0.0114848,0.0799506,9.98069,9.98193,0.0807713
4535,pi-,-211,0.379689,0.159112,12.2351,12.2429,0.41168
4536,pi-,-211,0.217496,0.277989,22.8178,22.821,0.352962
4537,pi0,111,0.0601806,-0.0205046,1.22957,1.23859,0.0635779
4538,pi-,-211,-0.142157,0.694674,41.5032,41.5095,0.70907
4539,pi0,111,-0.0818922,-0.00854769,13.3393,13.3403,0.0823371
4540,pi-,-211,0.0561047,-0.416632,4.11152,4.13532,0.420393
4541,pi0,111,-0.297823,-0.0736752,12.992,12.9963,0.3068
4542,pi0,111,-0.140081,-0.245407,2.81897,2.83631,0.282573
4543,pi-,-211,0.255161,0.112624,13.0574,13.0612,0.278911
4544,pi0,111,-0.161345,0.0138591,22.0232,22.0242,0.161939
4545,pi-,-211,0.319512,0.107582,26.3444,26.347,0.337138
4546,pi-,-211,0.0721164,-0.00178277,17.4557,17.4565,0.0721384
4547,pi0,111,-0.571314,-0.418173,29.1654,29.1743,0.708003
4548,pi-,-211,-0.123347,-0.14716,12.6772,12.6794,0.192017
4549,pi-,-211,-0.228592,-0.0396458,17.3718,17.3739,0.232004
4550,pi-,-211,0.19175,-0.227183,24.0405,24.0427,0.297288
4551,pi-,-211,-0.18449,0.211871,1.7832,1.81058,0.280937
4552,pi-,-211,-0.142748,-0.696941,37.2392,37.2462,0.71141
4553,pi0,111,-0.0952089,-0.213066,8.86078,8.86488,0.233371
4554,pi-,-211,-0.221566,-0.346811,36.9711,36.9736,0.411545
4555,pi-,-211,-0.00942235,0.0516159,1.64638,1.65312,0.0524689
4556,pi-,-211,-0.0261331,0.126361,1.27084,1.28498,0.129035
4557,pi0,111,-0.0690924,-0.0079567,30.2408,30.2412,0.069549
4558,pi-,-211,0.0236761,-0.319684,2.46363,2.48832,0.320559
4559,pi0,111,0.234859,0.00119451,33.2131,33.2142,0.234862
4560,pi-,-211,0.333158,-0.105089,25.2503,25.2531,0.349339
4561,pi-,-211,0.283301,0.19761,2.59622,2.62281,0.345412
4562,pi0,111,0.144367,-0.508921,44.2457,44.2491,0.529001
4563,pi0,111,0.00026891,0.120011,40.3494,40.3498,0.120011
4564,pi-,-211,-0.0684939,0.114155,30.331,30.3316,0.133127
4565,pi0,111,0.206459,0.0071732,3.23506,3.24446,0.206584
4566,pi-,-211,0.0814432,-0.121708,18.3274,18.3285,0.146444
4567,pi-,-211,-0.589633,0.0829321,12.6201,12.6349,0.595437
4568,pi-,-211,-0.439768,0.338608,7.52016,7.54191,0.555024
